user_id,course_id,completed,completed_date
u_0001,c_004,True,2025-07-31
u_0001,c_005,True,2026-04-18
u_0001,c_008,False,2025-12-09
u_0002,c_013,False,2025-10-28
u_0002,c_011,True,2026-04-17
u_0003,c_011,False,2025-12-14
u_0003,c_012,True,2025-05-19
u_0003,c_010,False,2026-02-24
u_0003,c_001,True,2026-02-18
u_0004,c_011,True,2025-05-08
u_0005,c_006,True,2025-04-10
u_0005,c_009,True,2025-06-23
u_0005,c_003,False,2025-12-25
u_0005,c_012,False,2025-11-12
u_0006,c_013,True,2026-01-30
u_0007,c_007,True,2025-04-13
u_0007,c_002,False,2026-03-18
u_0008,c_014,False,2026-02-17
u_0008,c_003,True,2025-08-05
u_0008,c_015,True,2025-12-06
u_0008,c_004,True,2025-12-29
u_0008,c_011,True,2025-12-03
u_0008,c_010,True,2025-07-24
u_0010,c_009,False,2026-03-31
u_0010,c_001,False,2025-10-03
u_0010,c_011,True,2025-11-23
u_0011,c_011,True,2026-03-07
u_0012,c_015,True,2025-05-31
u_0012,c_007,True,2026-01-23
u_0012,c_003,True,2025-10-12
u_0013,c_014,True,2025-04-09
u_0013,c_008,True,2025-11-11
u_0013,c_005,False,2026-03-14
u_0013,c_007,True,2025-05-02
u_0013,c_011,True,2026-02-10
u_0014,c_014,False,2026-04-17
u_0014,c_006,True,2025-05-14
u_0015,c_015,True,2025-06-12
u_0016,c_015,True,2025-07-19
u_0017,c_009,True,2025-08-21
u_0017,c_013,True,2026-03-24
u_0017,c_005,False,2026-03-20
u_0018,c_005,True,2025-12-12
u_0018,c_009,True,2025-07-20
u_0019,c_012,True,2026-01-31
u_0022,c_006,True,2026-03-22
u_0022,c_013,True,2025-10-22
u_0022,c_014,False,2025-08-02
u_0022,c_012,True,2026-03-06
u_0022,c_009,False,2025-09-14
u_0023,c_002,True,2025-05-29
u_0023,c_001,True,2025-12-10
u_0023,c_006,True,2025-08-09
u_0024,c_013,False,2025-09-18
u_0024,c_007,True,2026-04-15
u_0024,c_002,True,2025-06-08
u_0024,c_006,False,2025-05-08
u_0024,c_008,True,2025-12-07
u_0024,c_004,True,2025-05-19
u_0025,c_013,True,2025-12-14
u_0025,c_010,True,2025-09-20
u_0026,c_014,False,2026-01-30
u_0026,c_011,True,2025-06-20
u_0026,c_001,True,2026-04-09
u_0027,c_013,True,2025-11-07
u_0028,c_013,True,2025-06-10
u_0028,c_008,True,2025-09-29
u_0029,c_008,False,2025-11-22
u_0029,c_004,True,2025-10-01
u_0029,c_001,True,2025-08-11
u_0030,c_013,False,2025-04-30
u_0030,c_004,True,2025-05-19
u_0030,c_008,True,2025-09-08
u_0030,c_011,True,2025-07-24
u_0031,c_005,True,2025-08-31
u_0031,c_014,False,2025-09-12
u_0032,c_001,True,2025-08-09
u_0032,c_003,True,2026-03-15
u_0032,c_010,False,2025-10-22
u_0032,c_014,True,2025-11-15
u_0033,c_007,True,2025-06-07
u_0033,c_015,True,2025-11-13
u_0034,c_008,True,2025-09-19
u_0034,c_002,True,2026-04-06
u_0034,c_012,False,2025-10-21
u_0035,c_010,False,2025-12-13
u_0035,c_003,True,2026-02-03
u_0035,c_004,True,2025-10-24
u_0035,c_009,False,2026-03-20
u_0035,c_007,True,2025-08-11
u_0036,c_004,True,2025-10-05
u_0036,c_003,True,2025-08-09
u_0036,c_001,True,2025-09-23
u_0036,c_012,True,2026-03-16
u_0037,c_010,True,2026-01-29
u_0037,c_007,True,2025-11-04
u_0037,c_012,True,2025-04-03
u_0037,c_002,True,2025-07-06
u_0038,c_001,False,2026-01-28
u_0038,c_012,True,2025-12-10
u_0038,c_008,False,2025-09-19
u_0039,c_014,False,2025-04-13
u_0039,c_002,True,2025-12-24
u_0039,c_010,True,2025-06-13
u_0041,c_004,True,2026-03-26
u_0041,c_003,True,2025-06-27
u_0042,c_002,True,2025-11-22
u_0042,c_013,True,2026-02-26
u_0043,c_008,True,2025-08-27
u_0043,c_002,True,2026-02-08
u_0043,c_007,False,2025-10-06
u_0043,c_003,True,2025-08-24
u_0044,c_004,True,2025-11-02
u_0044,c_001,False,2025-04-03
u_0044,c_006,True,2026-01-23
u_0044,c_003,True,2025-07-03
u_0046,c_003,True,2025-08-14
u_0046,c_011,True,2025-05-08
u_0047,c_014,True,2025-07-18
u_0047,c_002,True,2025-10-20
u_0047,c_008,True,2025-11-13
u_0047,c_013,True,2025-09-21
u_0048,c_010,True,2025-07-14
u_0050,c_004,True,2025-11-10
u_0051,c_004,False,2025-04-15
u_0051,c_009,False,2025-10-19
u_0051,c_001,True,2025-08-10
u_0051,c_014,True,2025-06-18
u_0051,c_015,True,2026-02-08
u_0052,c_010,True,2025-06-30
u_0052,c_004,False,2025-05-13
u_0052,c_012,True,2026-01-17
u_0052,c_015,True,2025-10-14
u_0052,c_014,True,2025-09-24
u_0052,c_003,False,2025-04-23
u_0052,c_008,True,2026-01-12
u_0052,c_013,True,2025-04-29
u_0053,c_007,True,2025-06-23
u_0053,c_011,False,2026-02-22
u_0053,c_006,True,2025-09-28
u_0053,c_003,True,2026-01-25
u_0054,c_011,True,2025-11-16
u_0054,c_010,False,2025-03-30
u_0054,c_006,False,2026-01-03
u_0055,c_012,True,2025-04-10
u_0055,c_008,True,2025-04-21
u_0055,c_006,False,2025-04-04
u_0056,c_010,True,2025-07-03
u_0056,c_001,True,2025-10-06
u_0057,c_005,True,2025-06-26
u_0057,c_015,True,2025-09-24
u_0057,c_009,True,2025-08-03
u_0057,c_010,True,2025-06-26
u_0057,c_001,True,2025-06-23
u_0057,c_012,True,2025-09-29
u_0058,c_015,False,2025-09-15
u_0059,c_015,True,2025-09-18
u_0059,c_012,True,2025-09-14
u_0060,c_010,False,2026-01-07
u_0061,c_004,True,2025-07-06
u_0061,c_013,True,2025-08-27
u_0061,c_014,True,2025-10-17
u_0062,c_013,True,2026-01-12
u_0062,c_009,False,2026-04-13
u_0062,c_001,False,2026-02-23
u_0064,c_001,True,2025-09-16
u_0065,c_010,True,2025-04-27
u_0065,c_015,True,2025-06-11
u_0066,c_002,False,2025-10-06
u_0066,c_008,True,2025-06-19
u_0066,c_014,True,2025-04-06
u_0066,c_005,True,2025-07-01
u_0067,c_004,True,2026-02-11
u_0067,c_008,True,2026-01-24
u_0068,c_002,True,2025-05-20
u_0068,c_012,True,2025-10-06
u_0069,c_014,False,2025-10-20
u_0069,c_005,True,2025-10-12
u_0069,c_008,True,2025-06-10
u_0069,c_006,False,2025-04-12
u_0069,c_003,False,2025-11-02
u_0069,c_009,True,2025-11-14
u_0071,c_006,True,2025-08-15
u_0071,c_014,True,2025-07-05
u_0072,c_012,True,2025-09-15
u_0073,c_005,True,2025-05-20
u_0073,c_004,False,2026-02-20
u_0073,c_012,True,2025-08-30
u_0075,c_008,False,2025-06-02
u_0076,c_002,False,2026-01-03
u_0077,c_015,False,2025-06-30
u_0077,c_009,False,2025-04-02
u_0077,c_013,True,2026-01-01
u_0077,c_002,True,2025-12-07
u_0079,c_013,True,2026-01-25
u_0080,c_006,True,2025-09-20
u_0080,c_014,True,2026-03-31
u_0080,c_010,False,2026-03-05
u_0080,c_001,True,2025-11-06
u_0081,c_011,True,2026-04-12
u_0081,c_009,False,2025-06-25
u_0081,c_013,True,2026-03-23
u_0081,c_006,True,2026-03-28
u_0081,c_014,True,2025-06-07
u_0081,c_015,True,2025-06-26
u_0084,c_013,False,2025-06-19
u_0084,c_010,True,2025-07-01
u_0084,c_007,True,2025-04-03
u_0084,c_003,True,2025-12-28
u_0085,c_013,True,2026-01-06
u_0085,c_005,True,2025-07-04
u_0085,c_008,False,2026-04-23
u_0086,c_014,True,2025-08-02
u_0086,c_003,True,2025-05-13
u_0087,c_013,False,2026-03-24
u_0087,c_001,False,2025-10-29
u_0088,c_003,True,2025-08-11
u_0088,c_007,True,2025-04-25
u_0088,c_014,False,2025-09-30
u_0089,c_008,True,2026-02-24
u_0089,c_014,True,2025-04-08
