user_id,skill_name,proficiency,verified,added_date
u_0001,REST APIs,2,True,2024-05-27
u_0001,Kubernetes,2,False,2024-07-17
u_0001,Microservices,2,True,2023-12-30
u_0001,CI/CD,2,True,2025-12-17
u_0001,PostgreSQL,1,True,2024-12-15
u_0001,GraphQL,3,False,2026-02-04
u_0001,Unit Testing,3,True,2023-12-23
u_0002,FastAPI,1,True,2024-02-26
u_0002,Redis,1,False,2024-04-11
u_0002,PostgreSQL,1,True,2025-09-16
u_0002,TypeScript,2,True,2024-10-27
u_0003,MongoDB,2,False,2026-01-01
u_0003,Unit Testing,2,False,2024-01-25
u_0003,Docker,3,True,2025-08-23
u_0003,PostgreSQL,2,True,2025-12-19
u_0003,Node.js,2,True,2025-02-02
u_0003,SQL,4,False,2024-02-26
u_0003,Redis,2,True,2024-05-04
u_0004,System Design,2,True,2025-01-30
u_0004,Python,1,True,2024-07-23
u_0004,React,1,True,2024-05-08
u_0004,PostgreSQL,1,True,2024-02-04
u_0005,MongoDB,3,True,2024-09-05
u_0005,Unit Testing,4,False,2025-05-28
u_0005,Git,4,True,2025-07-09
u_0005,Microservices,4,True,2025-08-31
u_0005,FastAPI,5,True,2026-03-30
u_0005,TypeScript,3,True,2024-06-06
u_0005,Kubernetes,5,True,2024-07-15
u_0005,PostgreSQL,3,True,2025-06-23
u_0005,Redis,3,False,2024-09-13
u_0005,HTML/CSS,4,True,2026-03-14
u_0006,Unit Testing,3,True,2024-06-27
u_0006,GraphQL,2,False,2024-05-28
u_0006,Python,2,False,2026-01-09
u_0006,React,2,False,2025-10-13
u_0006,Microservices,3,False,2025-09-07
u_0006,HTML/CSS,2,True,2024-09-27
u_0006,FastAPI,3,True,2025-12-04
u_0007,FastAPI,2,True,2026-01-29
u_0007,Docker,1,False,2025-04-12
u_0007,System Design,2,True,2026-03-15
u_0007,PostgreSQL,3,True,2026-02-18
u_0007,HTML/CSS,4,True,2025-12-19
u_0007,Node.js,3,True,2024-02-01
u_0007,TypeScript,1,True,2025-12-27
u_0008,Git,3,False,2024-12-10
u_0008,Unit Testing,2,False,2024-11-30
u_0008,Kubernetes,4,True,2025-08-11
u_0008,CI/CD,4,False,2024-10-16
u_0008,Docker,4,True,2025-08-27
u_0008,Node.js,3,True,2025-11-02
u_0008,AWS,3,True,2024-01-01
u_0008,Python,4,True,2024-09-22
u_0008,FastAPI,4,True,2025-05-19
u_0008,GraphQL,3,True,2024-12-17
u_0008,React,2,False,2025-10-29
u_0008,MongoDB,4,False,2025-01-18
u_0008,SQL,2,True,2025-09-16
u_0009,TypeScript,1,True,2025-10-22
u_0009,Microservices,1,True,2024-11-21
u_0009,HTML/CSS,2,True,2025-10-18
u_0009,GraphQL,1,False,2024-11-17
u_0010,React,5,True,2025-09-03
u_0010,Unit Testing,2,True,2026-01-29
u_0010,GraphQL,2,True,2024-07-22
u_0010,AWS,5,True,2024-01-25
u_0010,TypeScript,3,False,2024-06-15
u_0010,HTML/CSS,2,True,2024-10-17
u_0010,REST APIs,3,True,2026-01-31
u_0010,Git,4,True,2024-03-28
u_0010,MongoDB,3,False,2024-07-29
u_0010,PostgreSQL,4,True,2024-03-29
u_0011,Python,2,True,2024-03-24
u_0011,CI/CD,2,False,2024-01-20
u_0011,Git,2,True,2025-02-17
u_0011,PostgreSQL,3,True,2025-02-20
u_0011,MongoDB,2,False,2024-06-29
u_0011,Docker,3,False,2025-05-02
u_0011,FastAPI,2,True,2025-02-27
u_0012,Python,4,False,2024-04-15
u_0012,React,4,True,2024-03-24
u_0012,Microservices,3,False,2025-11-14
u_0012,Unit Testing,5,True,2024-12-10
u_0012,HTML/CSS,4,True,2025-04-16
u_0012,PostgreSQL,3,False,2025-01-29
u_0012,Node.js,5,False,2025-09-12
u_0012,Git,4,False,2025-11-23
u_0012,CI/CD,4,True,2025-01-12
u_0012,Redis,3,True,2026-03-12
u_0013,REST APIs,4,True,2024-02-22
u_0013,Unit Testing,4,False,2025-12-11
u_0013,HTML/CSS,3,True,2025-07-08
u_0013,TypeScript,4,False,2025-06-13
u_0013,PostgreSQL,3,True,2025-09-27
u_0013,AWS,4,True,2025-11-23
u_0013,SQL,4,True,2024-11-10
u_0013,Microservices,4,True,2025-06-29
u_0013,FastAPI,3,True,2024-07-02
u_0013,Kubernetes,3,True,2024-11-08
u_0013,Docker,4,True,2025-06-25
u_0013,Git,3,True,2026-02-19
u_0013,React,3,False,2025-08-05
u_0014,Kubernetes,2,True,2024-08-21
u_0014,Python,1,True,2024-11-09
u_0014,GraphQL,1,True,2024-05-19
u_0014,Node.js,2,True,2024-01-26
u_0015,FastAPI,2,True,2024-10-30
u_0015,Python,3,True,2026-01-19
u_0015,Docker,3,False,2025-07-18
u_0015,Redis,3,True,2025-12-27
u_0015,AWS,3,False,2024-01-05
u_0015,Microservices,2,False,2025-01-23
u_0015,REST APIs,2,True,2025-07-29
u_0016,REST APIs,3,False,2025-03-28
u_0016,HTML/CSS,3,False,2025-09-29
u_0016,GraphQL,2,False,2024-01-11
u_0016,AWS,3,True,2024-06-12
u_0016,TypeScript,2,True,2026-01-06
u_0016,SQL,3,True,2024-09-07
u_0016,Redis,2,False,2025-01-29
u_0017,SQL,3,False,2023-12-29
u_0017,FastAPI,2,True,2024-10-01
u_0017,Unit Testing,3,False,2025-01-28
u_0017,Git,1,True,2024-09-07
u_0017,CI/CD,2,True,2025-01-03
u_0017,React,3,False,2025-03-01
u_0017,AWS,3,False,2024-11-20
u_0018,Docker,2,True,2025-12-18
u_0018,HTML/CSS,2,True,2024-06-29
u_0018,TypeScript,2,False,2025-08-25
u_0018,Git,3,True,2025-05-12
u_0018,Node.js,1,True,2024-11-09
u_0018,System Design,2,False,2026-03-03
u_0018,AWS,2,True,2024-04-13
u_0019,GraphQL,2,False,2025-04-04
u_0019,AWS,1,False,2025-02-17
u_0019,SQL,3,False,2025-06-16
u_0019,FastAPI,1,True,2025-08-19
u_0019,Docker,1,True,2024-04-18
u_0019,Microservices,2,False,2024-09-21
u_0019,Unit Testing,3,True,2025-07-13
